date,RV,DRV
2020-08-13,3.788149602824134e-05,-7.333628167903707e-05
2020-08-14,4.559186800549775e-05,7.71037197725641e-06
2020-08-17,1.660617512672296e-05,-2.898569287877479e-05
2020-08-18,3.30960805403983e-05,1.648990541367534e-05
2020-08-19,3.3077282690403396e-05,-1.8797849994905275e-08
2020-08-20,4.2365112515091955e-05,9.287829824688559e-06
2020-08-21,3.4411290444394724e-05,-7.95382207069723e-06
2020-08-24,6.439100264438065e-05,2.9979712199985922e-05
2020-08-25,3.143255143272286e-05,-3.2958451211657784e-05
2020-08-26,2.580133892346372e-05,-5.631212509259143e-06
2020-08-27,8.357116520415838e-05,5.776982628069466e-05
2020-08-28,2.00532392388066e-05,-6.351792596535178e-05
2020-08-31,6.062490768196565e-05,4.057166844315905e-05
2020-09-01,3.013167090127458e-05,-3.049323678069107e-05
2020-09-02,5.2385594946570756e-05,2.2253924045296177e-05
2020-09-03,0.00039375865619153624,0.0003413730612449655
2020-09-04,0.00042294599057096036,2.9187334379424123e-05
2020-09-07,0.0,-0.00042294599057096036
2020-09-08,0.00045769358770698205,0.00045769358770698205
2020-09-09,0.00014787432734390934,-0.0003098192603630727
2020-09-10,0.0002855502397161836,0.00013767591237227427
2020-09-11,0.0001324625371657537,-0.0001530877025504299
2020-09-14,9.565016815362981e-05,-3.68123690121239e-05
2020-09-15,8.95280480908433e-05,-6.122120062786502e-06
2020-09-16,5.804062898207725e-05,-3.1487419108766055e-05
2020-09-17,0.0002558207589565689,0.00019778012997449164
2020-09-18,0.00010416497696398985,-0.00015165578199257903
2020-09-21,0.000516279829214163,0.0004121148522501731
2020-09-22,8.453872078467833e-05,-0.0004317411084294846
2020-09-23,0.00014203759763380043,5.7498876849122104e-05
2020-09-24,0.00021907456260259178,7.703696496879134e-05
2020-09-25,0.00012990794467170324,-8.916661793088854e-05
2020-09-28,0.00030295011459339604,0.0001730421699216928
2020-09-29,6.379306329143397e-05,-0.00023915705130196207
2020-09-30,0.00019251659881838203,0.00012872353552694806
2020-10-01,0.00015672541121169146,-3.579118760669057e-05
2020-10-02,0.0002566539396199947,9.992852840830322e-05
2020-10-05,9.931208696454036e-05,-0.00015734185265545432
2020-10-06,0.00021953593782077268,0.00012022385085623232
2020-10-07,0.00016699310283120966,-5.254283498956302e-05
2020-10-08,5.375276690317453e-05,-0.00011324033592803512
2020-10-09,6.674682426281686e-05,1.2994057359642323e-05
2020-10-12,2.91325410994198e-05,-3.761428316339706e-05
2020-10-13,4.616447398539133e-05,1.703193288597153e-05
2020-10-14,6.401075161187509e-05,1.7846277626483765e-05
2020-10-15,0.00014021596709183694,7.620521547996184e-05
2020-10-16,6.938845902418241e-05,-7.082750806765452e-05
2020-10-19,9.415568669205162e-05,2.4767227667869205e-05
2020-10-20,0.00010661465153461058,1.2458964842558965e-05
2020-10-21,9.468241359514863e-05,-1.193223793946195e-05
2020-10-22,7.016816047748369e-05,-2.4514253117664946e-05
2020-10-23,3.567771881307903e-05,-3.449044166440466e-05
2020-10-26,0.00025369395898165606,0.00021801624016857702
2020-10-27,7.002533169968348e-05,-0.00018366862728197257
2020-10-28,0.0005446078699853191,0.00047458253828563566
2020-10-29,0.00017994420857053972,-0.00036466366141477943
2020-10-30,0.0002932281255474877,0.00011328391697694798
2020-11-02,0.00022912814774144445,-6.409997780604324e-05
2020-11-03,0.000281405538564366,5.227739082292154e-05
2020-11-04,0.00023565854747099185,-4.574699109337414e-05
2020-11-05,0.00032572175272542714,9.006320525443528e-05
2020-11-06,8.850550343807468e-05,-0.00023721624928735245
2020-11-09,0.00299386219427674,0.0029053566908386654
2020-11-10,0.00016355512435355297,-0.002830307069923187
2020-11-11,5.346002999366774e-05,-0.00011009509435988523
2020-11-12,0.00011434352844692118,6.088349845325344e-05
2020-11-13,8.67751829303423e-05,-2.756834551657888e-05
2020-11-16,0.00018565374072843294,9.887855779809065e-05
2020-11-17,0.0001441929166531466,-4.1460824075286335e-05
2020-11-18,5.7278433455177766e-05,-8.691448319796883e-05
2020-11-19,8.776129029897066e-05,3.048285684379289e-05
2020-11-20,5.677009860905936e-05,-3.0991191689911294e-05
2020-11-23,9.834834912637145e-05,4.157825051731209e-05
2020-11-24,0.00010162765389481999,3.2793047684485357e-06
2020-11-25,3.778004881281392e-05,-6.384760508200607e-05
2020-11-26,0.0,-3.778004881281392e-05
2020-11-27,3.006646737519307e-05,3.006646737519307e-05
2020-11-30,0.00011104061201140108,8.097414463620801e-05
2020-12-01,0.00010984163660872742,-1.198975402673654e-06
2020-12-02,6.439371327890109e-05,-4.5447923329826334e-05
2020-12-03,4.8442243423351186e-05,-1.5951469855549904e-05
2020-12-04,2.4284986056218014e-05,-2.4157257367133172e-05
2020-12-07,3.166384531865188e-05,7.378859262433866e-06
2020-12-08,2.2127294878522303e-05,-9.536550440129578e-06
2020-12-09,6.609236895625299e-05,4.396507407773069e-05
2020-12-10,7.113529925209616e-05,5.0429302958431645e-06
2020-12-11,5.1831245346782704e-05,-1.930405390531345e-05
2020-12-14,9.887024101713318e-05,4.7038995670350475e-05
